"filename", "language", "Properties", "JSON", "JavaScript", "Markdown", "HTML", "TypeScript", "SCSS", "XML", "comment", "blank", "total"
"d:\Justo\BAKALAURAS\FutsalSystemFront\.editorconfig", "Properties", 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\Justo\BAKALAURAS\FutsalSystemFront\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"d:\Justo\BAKALAURAS\FutsalSystemFront\angular.json", "JSON", 0, 121, 0, 0, 0, 0, 0, 0, 20, 0, 141
"d:\Justo\BAKALAURAS\FutsalSystemFront\e2e\protractor.conf.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 6, 2, 32
"d:\Justo\BAKALAURAS\FutsalSystemFront\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 1, 5, 24
"d:\Justo\BAKALAURAS\FutsalSystemFront\e2e\src\app.po.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"d:\Justo\BAKALAURAS\FutsalSystemFront\e2e\tsconfig.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Justo\BAKALAURAS\FutsalSystemFront\karma.conf.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 2, 2, 33
"d:\Justo\BAKALAURAS\FutsalSystemFront\package-lock.json", "JSON", 0, 14567, 0, 0, 0, 0, 0, 0, 0, 1, 14568
"d:\Justo\BAKALAURAS\FutsalSystemFront\package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Enums\PlayerEvent.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\create-announcement-modal\create-announcement-modal.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\create-announcement-modal\create-announcement-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 49, 0, 0, 7, 56
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\create-announcement-modal\create-announcement-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 58, 0, 0, 0, 11, 69
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\delete-announcement-modal\delete-announcement-modal.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\delete-announcement-modal\delete-announcement-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\delete-announcement-modal\delete-announcement-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\edit-announcement-modal\edit-announcement-modal.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\edit-announcement-modal\edit-announcement-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 50, 0, 0, 7, 57
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Announcement\edit-announcement-modal\edit-announcement-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 0, 11, 68
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\create-match-event-modal\create-match-event-modal.component.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 38
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\create-match-event-modal\create-match-event-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 4, 36
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\create-match-event-modal\create-match-event-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 101, 0, 0, 1, 16, 118
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\create-match-modal\create-match-modal.component.html", "HTML", 0, 0, 0, 0, 37, 0, 0, 0, 0, 1, 38
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\create-match-modal\create-match-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 46, 0, 0, 6, 52
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\create-match-modal\create-match-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 9, 69
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\delete-match-event-modal\delete-match-event-modal.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\delete-match-event-modal\delete-match-event-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\delete-match-event-modal\delete-match-event-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\delete-match-modal\delete-match-modal.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\delete-match-modal\delete-match-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\delete-match-modal\delete-match-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\edit-match-modal\edit-match-modal.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\edit-match-modal\edit-match-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Match\edit-match-modal\edit-match-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 5, 16
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\create-player-modal\create-player-modal.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\create-player-modal\create-player-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 13, 86
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\create-player-modal\create-player-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 92, 0, 0, 0, 17, 109
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\delete-player-modal\delete-player-modal.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\delete-player-modal\delete-player-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\delete-player-modal\delete-player-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 29
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\edit-player-modal\edit-player-modal.component.html", "HTML", 0, 0, 0, 0, 45, 0, 0, 0, 0, 1, 46
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\edit-player-modal\edit-player-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 13, 86
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Player\edit-player-modal\edit-player-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 101, 0, 0, 0, 16, 117
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\create-team-modal\create-team-modal.component.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\create-team-modal\create-team-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 9, 69
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\create-team-modal\create-team-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 0, 16, 85
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\delete-team-modal\delete-team-modal.component.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\delete-team-modal\delete-team-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\delete-team-modal\delete-team-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 6, 28
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\edit-team-modal\edit-team-modal.component.html", "HTML", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 19
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\edit-team-modal\edit-team-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 60, 0, 0, 9, 69
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Modals\Team\edit-team-modal\edit-team-modal.component.ts", "TypeScript", 0, 0, 0, 0, 0, 67, 0, 0, 0, 16, 83
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Models\AnnouncementDto.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Models\MatchDto.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 2, 4, 35
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Models\MatchEventDto.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Models\PlayerDto.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Models\TeamDto.ts", "TypeScript", 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 37
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Models\UserDto.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\announcement.service.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 7, 32
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\base.service.ts", "TypeScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\hub.service.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 4, 10, 83
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\match.service.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 9, 40
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\matchEvent.service.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\player.service.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\team.service.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\Services\user.service.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\announcements\announcements.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\announcements\announcements.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\announcements\announcements.component.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 7, 24
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 4, 34
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 0, 1, 0, 9
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 14, 0, 1, 2, 17
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 137, 0, 0, 1, 8, 146
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 2, 61
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 227, 0, 4, 38, 269
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 13, 88
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\login\login.component.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 0, 21, 0, 41
"d:\Justo\BAKALAURAS\FutsalSystemFront\src\app\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 11, 84
